distribution,category,left_keV,right_keV,base_or_matched_mass,normalizing_class_mass,density_per_keV
matched,Bi214,1950.0,2000.0,0.030491820470448072,1.0,0.0006098364094089615
matched,Bi214,2000.0,2050.0,0.03833022923203172,1.0,0.0007666045846406345
matched,Bi214,2050.0,2100.0,0.04411669852723177,1.0,0.0008823339705446353
matched,Bi214,2100.0,2150.0,0.05220134002478949,1.0,0.0010440268004957899
matched,Bi214,2150.0,2200.0,0.059793516050405504,1.0,0.00119587032100811
matched,Bi214,2200.0,2250.0,0.0752241008375949,1.0,0.001504482016751898
matched,Bi214,2250.0,2300.0,0.0895032971686085,1.0,0.0017900659433721699
matched,Bi214,2300.0,2350.0,0.0804642660889412,1.0,0.0016092853217788239
matched,Bi214,2350.0,2400.0,0.07088237024477162,1.0,0.0014176474048954325
matched,Bi214,2400.0,2450.0,0.06298026354859187,1.0,0.0012596052709718374
matched,Bi214,2450.0,2500.0,0.051600283546010206,1.0,0.001032005670920204
matched,Bi214,2500.0,2550.0,0.04405306188109648,1.0,0.0008810612376219296
matched,Bi214,2550.0,2600.0,0.03489702807444517,1.0,0.0006979405614889034
matched,Bi214,2600.0,2650.0,0.027941281461640544,1.0,0.0005588256292328109
matched,Bi214,2650.0,2700.0,0.021955553934295158,1.0,0.0004391110786859032
matched,Bi214,2700.0,2750.0,0.011971455054689994,1.0,0.00023942910109379988
matched,Bi214,2750.0,2800.0,0.0,1.0,0.0
matched,Bi214,2800.0,2850.0,0.0,1.0,0.0
matched,Bi214,2850.0,2900.0,0.0,1.0,0.0
matched,Bi214,2900.0,2950.0,0.0,1.0,0.0
matched,Bi214,2950.0,3000.0,0.0,1.0,0.0
matched,Bi214,3000.0,3050.0,0.0,1.0,0.0
matched,Bi214,3050.0,3100.0,0.0,1.0,0.0
matched,Bi214,3100.0,3150.0,0.0,1.0,0.0
matched,Bi214,3150.0,3200.0,0.0,1.0,0.0
matched,Bi214,3200.0,3250.0,0.0,1.0,0.0
matched,Bi214,3250.0,3300.0,0.0,1.0,0.0
